id_celda	replica	sha256_paquete_captura	sha256_contenido_manifiesto	evidencia_directa_evento	clasificacion	definicion_en_prompt	decision_del_brazo	justificacion
DIN-M-01	1	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No dispongo de la distribución del reactivo cr27 (libro 3B, sección CR) de ENNViH-1 2002. El contexto documental entregado no contiene datos de la ENNViH/MxFLS; las cifras de ahorro que sí aparecen (ENIF 2024, ENSAFI, etc.) corresponden a otras encuestas, otros años, otros universos y otras definiciones, por lo que no pueden usarse como sustituto de la proporción solicitada. No conozco el dato y no voy a fabricar una cifra plausible.
DIN-M-01	2	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	"No conozco el dato de la ENNViH/MxFLS 2002 para el reactivo cr27 (""TIENE AHORROS""). El contexto documental entregado no contiene esa encuesta ni esa variable (las cifras de ahorro que aparecen son de la ENIF 2024, con universo, año y definición distintos), y no debo convertirlas en la estimación solicitada ni inventar una proporción plausible."
DIN-M-01	3	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No conozco el dato directo del reactivo cr27 de ENNViH-1 2002 (proporción de personas que declaran tener ahorros). El contexto documental entregado solo contiene cifras de ahorro de la ENIF 2024 y otras fuentes posteriores, que corresponden a otra encuesta, otro año y otra definición de universo, por lo que no son convertibles en la estimación solicitada.
DIN-M-01	4	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No conozco el valor tabulado del reactivo cr27 de ENNViH-1 2002 (libro 3B, sección CR) y el contexto documental entregado no contiene datos de esa encuesta (las cifras de ahorro que aparecen son de ENIF 2024 y no equivalen a este universo ni a esta ola). No debo derivar una cifra a partir de esas fuentes.
DIN-M-01	5	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	"No conozco el valor observado en ENNViH-1 2002 para el reactivo cr27 (""tiene ahorros"") del libro 3B, sección CR, y el contexto entregado no contiene microdatos ni tabulados de esa encuesta (las cifras disponibles —ENIF 2024, 36.6% ahorro solo informal, 21.6% ambos, 8.2% solo formal, 33.6% sin ahorro— corresponden a otra encuesta, otro año y otra definición, por lo que no deben convertirse en la estimación solicitada). Cualquier número que diera sería una invención plausible, no un dato."
DIN-M-01	6	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	"No conozco el dato del reactivo cr27 de ENNViH-1 2002 (libro 3B, sección CR). El contexto documental entregado se refiere a la ENIF 2024, ENOE y otras fuentes, no a la ENNViH/MxFLS, y esas cifras (p. ej., 33.6% sin ahorro en ENIF 2024) no son trasladables a otra encuesta, otro año ni otra definición de ""tener ahorros"". No tengo memoria fiable de la tabulación de ese reactivo, así que no daré una cifra."
DIN-M-01	7	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No tengo el dato del reactivo cr27 de ENNViH-1 2002 (libro 3B, sección CR). El contexto documental entregado no contiene ninguna cifra de la ENNViH/MxFLS; sólo ofrece datos de la ENIF 2024 (p. ej., 33.6% sin ahorro, 36.6% sólo informal), que corresponden a otra encuesta, otro año, otro universo y otra definición, por lo que no pueden convertirse en la estimación solicitada. Para no inventar una cifra plausible, me abstengo.
DIN-M-01	8	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	3b95e8791fd2712451d0239fd6f1a8f658edb5b114ba0fd3cc924e8e5f860590	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No conozco el valor tabulado del reactivo cr27 de ENNViH-1 2002 (libro 3B, sección CR), y el contexto documental entregado no contiene ese dato: las cifras de ahorro que aparecen (ENIF 2024: 36.6% solo informal, 21.6% ambos, 8.2% solo formal, 33.6% sin ahorro) corresponden a otra encuesta, otro año, otro universo y otra definición, por lo que no son convertibles en la estimación pedida. Dar un número sería inventar una cifra plausible.
TRA-M-07	1	765e6c713d938af483d8099a23f867a952b76935d8dbe66bd6db48106e134e04	765e6c713d938af483d8099a23f867a952b76935d8dbe66bd6db48106e134e04	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No conozco la cifra específica del inciso P8_3_1 de ENCIG 2021 para ese universo. El contexto documental entregado no contiene ese dato (solo menciona percepciones de corrupción de otras fuentes, no la experiencia directa medida por ENCIG), y mi recuerdo de la ENCIG 2021 se limita a la tasa agregada de prevalencia de corrupción (~14.7% entre personas con contacto con servidores públicos), que es un indicador compuesto de la batería 8.3 y con universo distinto, por lo que no puede convertirse en la estimación solicitada.
TRA-M-07	2	765e6c713d938af483d8099a23f867a952b76935d8dbe66bd6db48106e134e04	765e6c713d938af483d8099a23f867a952b76935d8dbe66bd6db48106e134e04	NO	FALTA-DOCUMENTO-ESPECIFICO-Y-EVIDENCIA-CUANTITATIVA	PRESENTE	ABSTENCION-VALIDA-ANTE-CONTEXTO-NO-PERTINENTE	No conozco el valor del inciso P8_3_1 de ENCIG 2021 para ese universo y el contexto entregado no lo contiene (las cifras de corrupción que aparecen —CPI 27/100, 27% que cree que los funcionarios rechazan sobornos, 85% que percibió corrupción electoral— no corresponden a esta pregunta ni a esta encuesta).
