# data/cruce-ola6-v1_0.tsv -- ACTO MAESTRA38-LOTE-CRUCE, pieza (a) (6/sep/2026).
# Los 19 instrumentos minimos de forense/notas/2026-09-05-MAESTRA38-N12-spec.md §1 (verbatim) cruzados contra las tres fuentes de A4 + la base de protesta.
# Criterio en forense/prereg-caja/S11-CRUCE-spec-v1_0.md §2: un nombre de variable SIN texto nunca produce CUBIERTO-POR.
# Medicion: cero. Ningun veredicto de regla.
id_regla	R_n	poblacion_declarada	veredicto	fuente	item	texto_reactivo_verbatim	que_falta_o_por_que	universo_de_busqueda
trabajo.jerarquia.deferencia_iniciativa_suprimida	R2.1	ocupada asalariada	SIN-COBERTURA-EN-ESTAS-FUENTES				ningun item interroga contradecir al jefe ni haber propuesto un cambio/idea en el trabajo; los 71 aciertos de 'jefe|patron|superior|supervisor' son parentesco con el jefe del hogar, jefe delegacional o codigo de supervisor de campo -- parecido nominal, no cuenta	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
trabajo.liderazgo.benevolencia_legitima	R2.2	ocupada	PARCIAL	Encuesta Nacional de Economia y Empleo (UNAM-IIJ, losmexicanos)	p46_5 (+ p46_1..p46_4)	46 En relacion a su trabajo, ¿esta Ud. muy satisfecho, algo satisfecho, poco satisfecho o nada satisfecho con cada una de las siguientes situaciones? Su trabajo en general	cubre solo la mitad de desenlace (satisfaccion laboral, poblacion ocupada correcta). El driver -- «¿su jefe/patron lo trata con respeto y se preocupa por sus empleados, o es autoritario?» -- no tiene item en ninguna de las cuatro fuentes: 0 aciertos de 'autoritario|lo trata con respeto'. Sin driver no hay contraste	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
trabajo.prestaciones.formalidad_pesa_mas_que_salario	R2.3	ocupada	PARCIAL	Encuesta Nacional de Economia y Empleo (UNAM-IIJ, losmexicanos)	p18_1 vs p18_2 (+ p19, p20 eleccion forzada)	18 A la hora de valorar un empleo, ¿Que tan importante es para usted cada uno de los siguientes aspectos? [p18_1] Que sea estable y seguro / [p18_2] Que proporcione ingresos altos	es el hallazgo mas cercano al hueco que N10/N12 §1.5 dejaron abierto (la fila SIN frase-pregunta verbatim): aqui SI existe el desenlace de preferencia declarada, medido en la misma bateria y con eleccion forzada en p19/p20. Pero el eje contrastado es ESTABILIDAD/SEGURIDAD DEL EMPLEO vs INGRESO, no PRESTACIONES FORMALES vs SALARIO -- son constructos distintos (un empleo informal puede ser estable). No se promueve a CUBIERTO-POR: seria exactamente el parecido nominal que el criterio prohibe. El driver (prestaciones) SI esta: p43 seguridad social, p44 razones por las que no cotiza	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
trabajo.rotacion.joven_urbano_sin_culpa	R2.4	15-29 urbana ocupada	PARCIAL	Encuesta Nacional de Economia y Empleo (UNAM-IIJ, losmexicanos)	p49 (+ p50, p51_1/p51_2 razones)	49 En este momento, ¿le gustaria cambiar de trabajo? / 51 ¿Cuales son las dos razones principales, que usted tiene, en orden de importancia, por las que le gustaria cambiar de trabajo?	mide INTENCION de cambiar, no el cambio ocurrido en los ultimos 12 meses que el instrumento minimo pide (p26 da antiguedad en el puesto, del que se puede derivar el cambio, pero no su motivo). El segundo tramo -- «¿sintio que tenia que justificarlo o dar explicaciones a su familia/entorno?» -- no tiene item: 0 aciertos de 'justificar'. La poblacion 15-29 urbana es derivable (edad_1, Tam_loc)	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
salud.atencion.leve_sin_imss	R4.1	sin seguridad social	PARCIAL	Encuesta Nacional de Salud (UNAM-IIJ, losmexicanos)	p13 (+ p14, p11, p12, p9/p10, p24)	13 ¿Para resolver este problema de salud que accion realizo? -- opciones verbatim: 1 Fue a un Centro de Salud · 2 Busco un medico particular · 3 Fue al hospital · 4 Fue a Urgencias · 5 Se atendio en una farmacia · 7 Fue con algun familiar, amigo o vecino · 10 Se automedico · 11 No hizo nada; y p14 ¿A que servicio medico acudio? -- opcion 8 «Consultorio adyacente a la farmacia»	es el acierto mas alto del cruce: el desenlace esta con LAS TRES opciones que el instrumento minimo nombra (farmacia con consultorio / se automedico / consulta formal), retrospectivo al ultimo mes (p11/p12), y la poblacion «sin seguridad social» es exactamente p9 ¿Cuenta con afiliacion a alguna institucion de salud? Falta UNA cosa y es material: el filtro de severidad percibida («un malestar que usted considero LEVE o MODERADO»). Sin ese filtro el item mezcla el padecimiento grave, donde ir al hospital no es el fenomeno bajo prueba. Un solo item de severidad percibida lo convierte en CUBIERTO-POR	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
salud.prevencion.hombre_sin_permiso	R4.2	masculina ocupada	SIN-COBERTURA-EN-ESTAS-FUENTES				la Encuesta Nacional de Salud solo trae prevencion FEMENINA (p50 Papanicolaou, p51 Mastografia, ambas con filtro explicito «Unicamente para mujeres»). Ningun item de chequeo preventivo masculino, y ninguna razon de no-atencion ligada al permiso laboral: p18_1 ¿Por que razon no lo hizo? tiene 4 opciones (Otro / Por falta de recursos / No habia medicamentos / Porque no se quiere morir) y ninguna es «no me dieron permiso en el trabajo». 0 aciertos de 'pospus|faltar al trabajo'	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
salud.consumo.sellos_precio_similar	R4.5	hogares con y sin sustituto barato	SIN-COBERTURA-EN-ESTAS-FUENTES				0 aciertos de 'sello|etiquet.*(advertencia|nutri)|calorias' sobre las 15 141 filas con texto. Las cuatro fuentes son de 2014-2015 y el sellado frontal de advertencia es de octubre 2020: no puede haber item. Lo mas cercano, p26/p27 de la Encuesta Nacional de Salud (jerarquia y frecuencia de refresco, verduras, comida), es habito declarado sin etiqueta ni precio -- ni driver ni desenlace del instrumento minimo	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
tiempo.puntualidad.formal_vs_social	R6.1	general	SIN-COBERTURA-EN-ESTAS-FUENTES				7 aciertos de 'puntual|llega.*tarde|a tiempo': los cuatro sustantivos son puntualidad DE LOS PROFESORES (Encuesta Nacional de Educacion p15_6/p30_6), no del respondente, y ninguno mide margen de tiempo declarado ni contrasta dos escenarios sobre la misma persona	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
tiempo.compromiso.si_voy_incierto	R6.2	general	SIN-COBERTURA-EN-ESTAS-FUENTES				4 aciertos de 'invita|quedar mal|reunion': tres son invitar a eventos POLITICOS en redes (Sociedad de la Informacion p50_15) y uno es el tipo de evento al que asistio (p74_1). Ni la pregunta de decir que si para no quedar mal, ni la asistencia real que le sirve de contraste	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
tiempo.bomberazo.recursos_escasos_urgencias	R6.3	bajos ingresos	SIN-COBERTURA-EN-ESTAS-FUENTES				2 aciertos de 'improvis|ultimo momento|urgencia', los dos la misma pregunta sobre negar atencion medica de urgencia a un extranjero (Encuesta Nacional de Migracion p6_2) -- otro constructo entero. Ninguna escala de frecuencia de resolver de ultimo momento ante gastos o urgencias competidoras	data/inventario-reactivos-descargas-mx-v1_2.tsv, filas de losmexicanos_unam_iij/ + cultura_constitucional_unam_iij/ + ecopred2014/ + A6_MMAD_PROTESTA_MEXICO/ = 22 969 filas, 15 141 con texto (ECOPRED 1 110 y MMAD 31 SIN texto: DBF/CSV sin etiquetas)
