id_pasaje	archivo_fuente_linea	concepto_o_contrato_compartido	limite_y_estado	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
TRABAJO-MITO-01	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L121	ENOE-001;lectura-trabajo-05	Horas anuales OCDE, PIB informal y empleo informal tienen unidades distintas; no miden esfuerzo individual	¿Qué serie OCDE da 2207 horas/año y qué cuenta satélite da 24% PIB informal con 55% empleo en mismo año?	OECD hours worked serie México/año; INEGI Medición de la Economía Informal y ENOE por cotejar	ASTRA5-U1	Armonizar año y cobertura; no inferir productividad individual de razón de agregados.
TRABAJO-MITO-02	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L123	lectura-trabajo-01	Supresión de iniciativa por distancia de poder y recuperación por autonomía son mecanismos causales no identificados	¿Qué estudio laboral mexicano observa autonomía asignada, iniciativa y jerarquía con comparación válida?	Howell et al. 2007 y estudios de seguridad psicológica México por localizar	ASTRA5-U1	Leer diseño de intervención y aplicar corrección Hofstede degradado.
TRABAJO-MITO-03	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L125	lectura-trabajo-03;lectura-trabajo-10	Respuesta a feedback privado frente a público es recomendación con efecto sin medir	¿Qué evaluación de feedback en empresas mexicanas compara canal y resultado del empleado?	Posthuma et al. 2006; Dávila-Elvira estudio gerencial por localizar	ASTRA5-U1	Separar norma de cortesía, percepción del gerente y efecto de práctica.
TRABAJO-MITO-04	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L127	concepto emprendimiento por necesidad	55.3% conoce a emprendedor GEM no es tasa de emprendimiento ni proporción por necesidad	¿Qué reactivo GEM produce 55.3% y cuál mide motivo de iniciar negocio en México?	GEM México APS 2024/2025 cuestionario, informe y microdato por localizar	ASTRA5-U1	Separar conocer emprendedor, TEA y necesidad; cotejar ola.
TRABAJO-MITO-05	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L129	lectura-tiempo-v1_0;corrección Hofstede	Reloj checador/plazo no demuestra orientación temporal individual por nacionalidad; frase sobre cambio contextual requiere estudio	¿Qué diseño mide conducta de puntualidad con y sin sanción en las mismas personas?	estudios de tiempo laboral y experimentos de incentivos por localizar	ASTRA5-U1	Deduplicar con report de tiempo y mantener norma contextual como hipótesis.
TRABAJO-MITO-06	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L131	lectura-trabajo-13	Estancamiento como razón número uno y efecto de desarrollo sobre salida son dos estimandos	¿Qué encuesta de renunciantes 2025 produce ranking y qué intervención mide rotación?	encuesta 2025 de motivos de salida y evaluación empresarial por localizar	ASTRA5-U1	Cotejar ranking y no usarlo como efecto causal de capacitación.
TRABAJO-MITO-07	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L133	ENOE-001;lectura-trabajo-06	Informalidad nacional medible; oposición multinacional/resto no identifica patrones psicológicos por cuatro casos ilustrativos	¿Qué marco de empresas/puestos mide empleados multinacionales y prácticas comparables frente a unidades no multinacionales?	ENOE sector/ocupación 2024T3 main; encuesta de empresas multinacionales por localizar	ASTRA5-U1	Separar empleo informal de cultura en multinacional, planta, mercado y Pemex.
TRABAJO-MITO-08	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L135	lectura-trabajo-07	Generación y obligación familiar mezclan edad, cohorte y país; comparación México-EE.UU. sin instrumento común	¿Qué encuesta binacional empareja edad/cohorte con obligación familiar, jerarquía y flexibilidad?	Randstad Workmonitor 2025 México/EE.UU. y WVS preguntas familiares por cotejar	ASTRA5-U1	No derivar psicología juvenil de etiqueta generacional o Hofstede nacional.
TRABAJO-MITO-09	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L137	lectura-trabajo-02	«Políticas sin confianza personal son huecas» es efecto organizacional no probado por confianza generalizada	¿Qué evaluación compara cumplimiento/políticas y confianza interpersonal de empleados en misma empresa?	Confianza Scale–Spanish 2024 y estudios de cumplimiento organizacional México por localizar	ASTRA5-U1	Separar requisito normativo, percepción personal y resultado institucional.
TRABAJO-CONC-01	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L153	lectura-trabajo-02;TRABAJO-MITO-09	Relaciones como sustituto institucional repite mecanismo no identificado, no nuevo estimando	¿Qué evidencia empareja confiabilidad de contratos con uso de recomendación personal en mismo negocio?	estudio compadrazgo HRM 2024 y datos de contratación por localizar	ASTRA5-U1	Deduplicar con confianza y no contar conclusión como corroboración.
TRABAJO-CONC-02	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L155	lectura-trabajo-05;TRABAJO-MITO-01	2207 horas, 75% estrés y 55% informalidad no son datos pareados; daño físico es inferencia clínica distinta	¿Qué fuente y universo IMSS generan 75% y qué estudio longitudinal empareja engagement con lesión/agotamiento?	OECD hours worked, IMSS estrés laboral, Gallup engagement por cotejar	ASTRA5-U1	No fabricar paradoja individual con promedios de país/región/población formal.
TRABAJO-CONC-03	corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md:L157	lectura-trabajo-07	55% fuerza laboral <25 y cambio histórico máximo se repiten; cota etaria y ranking temporal pendientes	¿Qué serie ENOE por edad sostiene 55% y qué ola Randstad permite comparación de motivador en tiempo?	RESULT ENOE por edad en main #1087; Randstad Workmonitor por localizar	ASTRA5-U1	Verificar cota y desagregar cohorte/edad antes de pronóstico de rotación.
